제목,공연시작일,공연종료일,장르,대관 기업명,구분,공연장,상세 링크
정지인 첼로 독주회,2012-11-29,2012-11-29,클래식,예인예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=12146
한국서도 대표작가 초대전,2012-11-29,2012-12-04,전시,(사)한국서도협회,대관,서울서예박물관,https://www.sac.or.kr/site/main/show/show_view?SN=10934
조지현 피아노 독주회,2012-11-29,2012-11-29,클래식,(주)마스트미디어,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=11652
서울시향의 러시아 시리즈 III,2012-11-29,2012-11-29,클래식,(재)서울시립교향악단,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=8921
소프라호른앙상블 제3회 정기연주회,2012-11-28,2012-11-28,실내악,브라움,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=12832
현순이 바이올린 독주회,2012-11-28,2012-11-28,독주,영음예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=16506
오페레타 박쥐,2012-11-28,2012-12-01,오페라,국립오페라단,대관,오페라극장,https://www.sac.or.kr/site/main/show/show_view?SN=11150
랑랑 피아노 협주곡 콘서트,2012-11-28,2012-11-28,클래식,(주)마스트미디어,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=12778
김현곤 클라리넷 독주회,2012-11-27,2012-11-27,실내악,지음기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=11868
최정은 첼로 독주회 Dreaming of Peace,2012-11-27,2012-11-27,클래식,예인예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=12830
IBK기업은행과 함께하는 지구촌 빈곤아동 돕기 자선음악회,2012-11-27,2012-11-27,클래식,(주)삼익악기,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=12062
서예리 정호윤과 함께하는 이대웅음악장학회창립25주년기념,2012-11-26,2012-11-26,클래식,지음기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=12856
대전시립교향악단 _ 유럽투어 프리뷰 콘서트,2012-11-26,2012-11-26,클래식,대전광역시청,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=11972
노희재 피아노 독주회,2012-11-25,2012-11-25,클래식,노인환,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=11864
상트페테르부르크 스테이트 심포니 오케스트라(25일),2012-11-25,2012-11-25,클래식,브라보컴,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=16412
김형규 교수 동문 음악회,2012-11-25,2012-11-25,실내악,(주)음연,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=12484
상트페테르부르크 스테이트 심포니 오케스트라(24일),2012-11-24,2012-11-24,클래식,브라보컴,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=12006
서정학의 오페라를 노래하는 남자,2012-11-24,2012-11-24,,더스톰프,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=16504
기분이 좋아지는 그림전,2012-11-24,2012-12-03,전시,keyvision,대관,한가람디자인미술관,https://www.sac.or.kr/site/main/show/show_view?SN=12554
2012 음악춘추 유망신예 연주회,2012-11-24,2012-11-24,클래식,음악춘추사,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=16454
2012년 서울대학교 관악합주 정기연주회,2012-11-23,2012-11-23,클래식,서울대학교 음악대학,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=12004
이동곤 호른 독주회,2012-11-23,2012-11-23,독주,영음예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=16436
연극 <그와 그녀의 목요일>,2012-11-23,2012-12-30,연극,(주)연극열전,대관,자유소극장,https://www.sac.or.kr/site/main/show/show_view?SN=14952
소아암환자돕기 백주영 아뉴스데이앙상블 창단연주회,2012-11-23,2012-11-23,클래식,(주)클라라음악재단,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=16496
대한민국회화제,2012-11-23,2012-12-01,,대한민국회화제,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=11188
김지현 개인전,2012-11-23,2012-11-30,전시,김지현,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=12812
정현수 Music and Text,2012-11-22,2012-11-22,클래식,정현수,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=11296
현대성악앙상블 제11회 정기연주회,2012-11-22,2012-11-22,성악,예인예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=16494
The Great 3B Series _ 바흐 2012 (11월),2012-11-22,2012-11-22,클래식,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=8920
이석준 호른 독주회,2012-11-21,2012-11-21,클래식,예인예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=11862
제9회 한국피아노두오협회 스페셜콘서트,2012-11-21,2012-11-21,클래식,한국피아노두오협회,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=13270
제21회 한국현대서예문인화협회 공모전,2012-11-21,2012-11-27,전시,한국현대서예문인화협회,대관,서울서예박물관,https://www.sac.or.kr/site/main/show/show_view?SN=10932
마리스 얀손스 & 바이에른 방송교향악단(11.21),2012-11-21,2012-11-21,교향곡,(주)빈체로,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=12002
마리스 얀손스 & 바이에른 방송교향악단(11.20),2012-11-20,2012-11-20,교향곡,(주)빈체로,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=12000
정원순 바이올린 독주회,2012-11-20,2012-11-20,클래식,(주)마스트미디어,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=11860
이상하 전,2012-11-20,2012-11-28,전시,이상하,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=10802
김호정 첼로 독주회,2012-11-20,2012-11-20,클래식,예인예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=12854
여가영 피아노 독주회,2012-11-19,2012-11-19,클래식,음악교육신문사,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=13262
라두 루푸 피아노 협주곡 콘서트,2012-11-19,2012-11-19,클래식,(주)마스트미디어,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=10156
김정미 조소연 피아노 듀오 리사이틀,2012-11-18,2012-11-18,독주,(주)부암아트,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=12194
알랭 본느푸와 (Alain Bonnefoit) 초대전,2012-11-18,2012-12-02,전시,동성갤러리,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=13122
송영훈과 대명페스티발오케스트라,2012-11-18,2012-11-18,클래식,더스톰프,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=12060
2012 임형주 콘서트 Classic Style,2012-11-18,2012-11-18,,(주)문화방송,대관,오페라극장,https://www.sac.or.kr/site/main/show/show_view?SN=15626
Spirit of SNU Strings II,2012-11-18,2012-11-18,클래식,(주)마스트미디어,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=12852
서울 컨템포러리 아트스타전,2012-11-17,2012-11-27,전시,한국미술의빛,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=14218
정수안 플루트 독주회,2012-11-17,2012-11-17,클래식,예인예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=11856
송영 바이올린 독주회,2012-11-17,2012-11-17,클래식,네오클래식매니지먼트,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=11290
"손범수, 진양혜의 TALK&CONCERT 시즌3_11월",2012-11-17,2012-11-17,클래식,예술의전당,기획,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=12502
세계열린미술대축제,2012-11-17,2012-11-29,전시,세계미술연맹,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=11190
라두 루푸 피아노 리사이틀,2012-11-17,2012-11-17,클래식,(주)마스트미디어,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=10102
Heel - 그림의 세계로 들어가다.,2012-11-16,2012-11-22,전시,내오전-나그대로,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=12246
연세 신포니에타 제 57회 정기연주회,2012-11-16,2012-11-16,클래식,(주)마스트미디어,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=13252
셰익스피어 인 클래식,2012-11-16,2012-11-16,이벤트콘서트,더스톰프,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=16416
서울시향의 비르투오소 시리즈 IV,2012-11-16,2012-11-16,교향곡,(재)서울시립교향악단,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=8917
볼쇼이 극장 솔리스트 콘서트 오페라,2012-11-16,2012-11-17,,(사)밀레니엄심포니오케스트라,대관,오페라극장,https://www.sac.or.kr/site/main/show/show_view?SN=12662
이베로 아메리칸 아트페어 서울 2012,2012-11-15,2012-11-19,전시,베아르떼,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=14216
제4회 세일 한국가곡의 밤,2012-11-15,2012-11-15,성악,(재)세일음악문화재단,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=14292
국립합창단 데뷔콘서트Ⅷ,2012-11-15,2012-11-15,교향곡,(재)국립합창단,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=12320
베르디 갈라 오페라 <라 트라비아타>,2012-11-14,2012-11-15,오페라,솔오페라단,대관,오페라극장,https://www.sac.or.kr/site/main/show/show_view?SN=13100
천상의 하모니 시리즈2 - 이혜경 플루트 연주회,2012-11-14,2012-11-14,클래식,영앤잎섬(주),대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=12850
세종솔로이스츠 喜(희)와 悲(비),2012-11-14,2012-11-14,클래식,사단법인세종솔로이스츠,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=15434
대한민국 실내악 작곡제전,2012-11-14,2012-11-14,클래식,사단법인 한국작곡가협회,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=11092
이성주 데뷔 35주년 기념콘서트,2012-11-13,2012-11-13,교향곡,(사)조이오브스트링스,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=13208
코리안 텐 테너즈,2012-11-13,2012-11-13,,예술기획 파홀로,대관,오페라극장,https://www.sac.or.kr/site/main/show/show_view?SN=13098
요요마 첼로 리사이틀,2012-11-13,2012-11-13,클래식,크레디아인터내셔널,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=13134
최병철 작곡·지휘62주년기념 음악회,2012-11-12,2012-11-12,성악,세실예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=12846
한러 오페라단 제 2회 정기연주회,2012-11-12,2012-11-12,,영음예술기획,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=16414
마나소누스 앙상블 정기연주회,2012-11-12,2012-11-12,클래식,한다우리예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=12128
제9회 금파 플루트 앙상블 정기연주회,2012-11-11,2012-11-11,클래식,예인예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=12844
피아니스트 미로슬라브 꿀띠쉐프 콘서트,2012-11-11,2012-11-11,클래식,(주)차이코프스키 씨앤씨,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=11996
정유미 플루트 독주회,2012-11-11,2012-11-11,독주,플룻샵,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=11852
제2회 뷰티플 모차르트 콘서트,2012-11-10,2012-11-10,클래식,(주)음연,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=12866
한화와 함께하는 We♡Classic2012예술의전당 청소년음악회(11월),2012-11-10,2012-11-10,교향곡,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=8919
조동업 자연감통작품전,2012-11-10,2012-11-22,,한세대학교,대관,한가람디자인미술관,https://www.sac.or.kr/site/main/show/show_view?SN=12250
제13회대한민국문인화대전 및 초대작가전,2012-11-10,2012-11-20,전시,(사)한국문인화협회,대관,서울서예박물관,https://www.sac.or.kr/site/main/show/show_view?SN=10930
문화햇살콘서트,2012-11-10,2012-11-10,클래식,예술의전당,기획,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=13278
김주원 플루트 독주회,2012-11-10,2012-11-10,독주,영음예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=11273
김 삶 바이올린 독주회,2012-11-10,2012-11-10,클래식,네오클래식매니지먼트,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=12116
Putting an uncommon day in the vessel,2012-11-10,2012-11-15,,김수연,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=12534
2012 예술의전당 아티스트 시리즈 (11월),2012-11-09,2012-11-09,독주,예술의전당,기획,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=8703
IBK기업은행 고객사랑 음악회,2012-11-09,2012-11-09,클래식,기업은행,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=16702
Love is Red,2012-11-09,2012-11-09,클래식,예술기획 파홀로,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=16410
코리안심포니 제183회 정기연주회,2012-11-08,2012-11-08,교향곡,(재)국립심포니오케스트라,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=8913
서울색소폰콰르텟제7회정기연주회-色소폰과 바람난 콘서트,2012-11-08,2012-11-08,실내악,感예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=12988
반고흐 in 파리,2012-11-08,2013-03-24,미술,(주)한국아이문화사업단,대관,한가람디자인미술관,https://www.sac.or.kr/site/main/show/show_view?SN=14288
보물,2012-11-08,2012-11-18,연극,LSM Company,대관,자유소극장,https://www.sac.or.kr/site/main/show/show_view?SN=13052
한화생명과 함께하는 2012_11시 콘서트 (11월),2012-11-08,2012-11-08,교향곡,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=8912
콰르텟21 제39회 정기연주회,2012-11-08,2012-11-08,실내악,예인예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=11850
발레리 게르기예프 & 마린스키 극장 오케스트라 (7일),2012-11-07,2012-11-07,교향곡,(주)마스트미디어,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=11664
이양숙 피아노 독주회,2012-11-07,2012-11-07,클래식,J&R예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=12848
모리스 콰르텟 제12회 정기연주회,2012-11-07,2012-11-07,클래식,(주)마스트미디어,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=16438
돔앙상블 제32회 정기연주회,2012-11-06,2012-11-06,클래식,세실예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=12114
2012 The One&Only 문화나눔콘서트,2012-11-06,2012-11-06,클래식,(주)마고기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=12986
발레리 게르기예프 & 마린스키 극장 오케스트라 (6일),2012-11-06,2012-11-06,교향곡,(주)마스트미디어,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=11666
2012 소프라노 조수미 내한공연 - La Luce,2012-11-06,2012-11-06,,SMI엔터테인먼트,대관,오페라극장,https://www.sac.or.kr/site/main/show/show_view?SN=15616
한국페스티발앙상블 54회 정기연주회,2012-11-05,2012-11-05,클래식,(사)한국페스티발앙상블,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=11994
배상은 윤철희 듀오 콘서트,2012-11-05,2012-11-05,클래식,윤철희,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=12984
여음목관 5중주 제19회 정기연주회,2012-11-05,2012-11-05,클래식,지클레프,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=11848
김경숙 개인전,2012-11-04,2012-11-08,전시,김경숙,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=12532
코리아나 챔버뮤직 소사이어티 제51회 정기연주회,2012-11-04,2012-11-04,클래식,지클레프,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=11846
중요무형문화재 제55호 소목장 박명배의 전통목가구전(藝作),2012-11-04,2012-11-16,전시,중요무형문화재 제55호,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=10852
이헌국 도예 40주년 기념展,2012-11-04,2012-11-10,전시,이헌국,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=10798
이두영 팔순회고전,2012-11-04,2012-11-10,전시,이두영,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=10804
서울챔버오케스트라 제81회 정기연주회,2012-11-04,2012-11-04,교향곡,(주)마스트미디어,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=11992
KOREA TOMORROW 2012,2012-11-04,2012-11-14,전시,(주)에이치엔에이치크리에이티브,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=10794
2012 음악영재 아카데미콘서트(14시),2012-11-03,2012-11-03,클래식,예술의전당,기획,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=11238
진은숙의 아르스 노바 시리즈 IV - “헝가리”,2012-11-03,2012-11-03,교향곡,(재)서울시립교향악단,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=12348
제8회 사단법인 한국서예협회 초대작가전,2012-11-03,2012-11-09,전시,한국서예협회,대관,서울서예박물관,https://www.sac.or.kr/site/main/show/show_view?SN=10926
"공간(空間), 그 무한의 가능성 Ⅶ",2012-11-03,2012-11-03,무용,김명숙늘휘무용단,대관,자유소극장,https://www.sac.or.kr/site/main/show/show_view?SN=10972
2012 음악영재 아카데미콘서트(19시),2012-11-03,2012-11-03,클래식,예술의전당,기획,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=8707
장승호 기타 리사이틀,2012-11-02,2012-11-02,클래식,(주)코리아나매니지먼트,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=13304
한국정책금융공사와 함께하는 빈 소년 합창단 내한공연,2012-11-02,2012-11-02,,크레디아인터내셔널,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=8724
"라 스칼라, 로마극장 주역 초청 오페라 리골렛토",2012-11-02,2012-11-04,오페라,베세토오페라단,대관,오페라극장,https://www.sac.or.kr/site/main/show/show_view?SN=12666
제40회 범 음악제(11/1),2012-11-01,2012-11-01,실내악,예인예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=12860
한국정책금융공사와 함께하는 빈 소년 합창단 내한공연,2012-11-01,2012-11-01,클래식,크레디아인터내셔널,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=8723
김문정 피아노 독주회,2012-11-01,2012-11-01,독주,지음기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=11338
앤더슨 & 로: 네 손을 위한 판타지 2012,2012-10-31,2012-10-31,실내악,아트앤아티스트,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=12858
제40회 범 음악제(10/31),2012-10-31,2012-10-31,실내악,예인예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=11844
윤디 피아노 리사이틀,2012-10-31,2012-10-31,독주,(주)마스트미디어,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=15132
STREET LIFE IN CALIFORNIA,2012-10-31,2012-11-07,전시,유은숙,대관,한가람디자인미술관,https://www.sac.or.kr/site/main/show/show_view?SN=10850
신세계 클래식 페스티벌 Ⅳ,2012-10-30,2012-10-30,클래식,(주) 신세계,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=15228
제40회 범 음악제(10/30),2012-10-30,2012-10-30,실내악,예인예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=11842
송윤정 피아노 독주회,2012-10-30,2012-10-30,독주,예진문화기획사,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=16670
가을에 듣는 Schubert Piano Ensemble,2012-10-29,2012-10-29,클래식,지클레프,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=16678
제40회 범 음악제(10/29),2012-10-29,2012-10-29,실내악,예인예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=12884
오나 Is she coming?,2012-10-29,2012-11-01,무용,최상철 댄스프로젝트,대관,자유소극장,https://www.sac.or.kr/site/main/show/show_view?SN=12658
2012 서울신문 가을밤콘서트,2012-10-29,2012-10-29,클래식,(주)서울신문사,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=12058
박성희 비올라 독주회,2012-10-28,2012-10-28,클래식,(주)마스트미디어,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=12588
인디애나대학교 음악대학 제7회 동문음악회,2012-10-28,2012-10-28,클래식,(주)마스트미디어,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=12882
2012 이사오 사사키 내한공연,2012-10-28,2012-10-28,이벤트콘서트,더스톰프,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=8911
피아니스트 이옥희 데뷔 50주년 기념 독주회,2012-10-27,2012-10-27,클래식,(주)음연,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=16440
제20회대한민국서예전람회,2012-10-27,2012-11-02,전시,사단법인한국서가협회,대관,서울서예박물관,https://www.sac.or.kr/site/main/show/show_view?SN=10922
제 4회 뤼미에르 앙상블 정기연주회,2012-10-27,2012-10-27,실내악,지음기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=16442
박은호(古河) 팔순 기념전,2012-10-27,2012-11-02,전시,박순보,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=11196
김해은 첼로 독주회,2012-10-27,2012-10-27,클래식,(주)마스트미디어,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=16426
2012년 제35회 한국합창제,2012-10-27,2012-10-27,합창,(사)한국합창총연합회,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=16408
앙상블 선 정기연주회,2012-10-26,2012-10-26,클래식,영음예술기획,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=16492
송정민 클라리넷 독주회,2012-10-26,2012-10-26,독주,지클레프,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=11800
2012한국합창대제전,2012-10-26,2012-10-26,합창,한국합창지휘자협회,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=15394
(사)글로리아 오페라단 창단21주년 - 세빌리아의 이발사,2012-10-26,2012-10-28,오페라,(사)글로리아오페라단,대관,오페라극장,https://www.sac.or.kr/site/main/show/show_view?SN=12668
2012한국합창대제전,2012-10-25,2012-10-25,합창,한국합창지휘자협회,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=12008
노양희 피아노 독주회,2012-10-25,2012-10-25,클래식,뮤직플러스,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=16676
2012한국합창대제전,2012-10-24,2012-10-24,합창,한국합창지휘자협회,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=13132
서울국제컴퓨터음악제 2012,2012-10-24,2012-10-27,,한국전자음악협회,대관,자유소극장,https://www.sac.or.kr/site/main/show/show_view?SN=10976
김성연 플루트 독주회,2012-10-24,2012-10-24,클래식,플루트하우스,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=11836
2012 예술의전당 앙상블축제 - 화음쳄버오케스트라,2012-10-24,2012-10-24,클래식,예술의전당,기획,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=12704
2012 KPAM 대한민국미술제,2012-10-24,2012-10-31,전시,(사)한국전업미술가협회,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=10796
제9회 대한민국 조경대전,2012-10-23,2012-10-31,전시,(재)늘푸른,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=10848
페도세예프 & 모스크바 방송교향악단,2012-10-23,2012-10-23,클래식,(주)빈체로,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=15130
최한원 바이올린 독주회,2012-10-23,2012-10-23,클래식,(주)프로아트매니지먼트,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=11834
2012 예술의전당 앙상블축제 - 금호아트홀체임버뮤직소사이어티,2012-10-23,2012-10-23,클래식,예술의전당,기획,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=12702
테너 최승태교수 정년퇴임 음악회,2012-10-22,2012-10-22,클래식,예술기획 파홀로,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=15134
세종챔버앙상블 제7회 정기연주회,2012-10-22,2012-10-22,클래식,지음기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=12078
GSK와 기아대책이 함께하는 강동석의 희망콘서트,2012-10-22,2012-10-22,클래식,영앤잎섬(주),대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=12648
앙상블 디아파종 정기연주회,2012-10-21,2012-10-21,실내악,영음예술기획,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=12180
바이올리니스트 민유경의 브람스 바이올린소나타 전곡시리즈,2012-10-21,2012-10-21,클래식,(주)마스트미디어,대관,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=15140
"최효민의 이미지 퍼포먼스 - 물거울, 틈",2012-10-21,2012-10-22,,최효민(아르스 인피니타),대관,자유소극장,https://www.sac.or.kr/site/main/show/show_view?SN=12656
불멸의 오페라 하이라이트,2012-10-21,2012-10-21,클래식,예인예술기획,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=16486
이지은 비올라 리사이틀,2012-10-20,2012-10-20,클래식,네오클래식매니지먼트,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=11263
한화와 함께하는 We♡Classic2012예술의전당 청소년음악회(10월),2012-10-20,2012-10-20,클래식,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=8905
신세계와 함께하는 예술의전당 토요 콘서트 - Part 4 (10월),2012-10-20,2012-10-20,클래식,예술의전당,기획,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=8904
"손범수, 진양혜의 TALK&CONCERT 시즌3_10월",2012-10-20,2012-10-20,교향곡,예술의전당,기획,IBK기업은행챔버홀,https://www.sac.or.kr/site/main/show/show_view?SN=12500
김은경 개인전/양원희 개인전,2012-10-20,2012-10-24,전시,양원희,대관,한가람미술관,https://www.sac.or.kr/site/main/show/show_view?SN=12476
고진영 바이올린 리사이틀,2012-10-20,2012-10-20,독주,음악세계,대관,리사이틀홀,https://www.sac.or.kr/site/main/show/show_view?SN=16452
장일범과 함께하는 오페라 갈라 We Love Korea,2012-10-19,2012-10-19,클래식,(사)고려오페라단,대관,콘서트홀,https://www.sac.or.kr/site/main/show/show_view?SN=16406
